crf,filesize,vmaf
1,18257548,99.670289
2,18223150,99.671806
3,17714559,99.669184
4,14876831,99.653448
5,13766617,99.655953
6,11159236,99.631273
7,9100053,99.631717
8,8067366,99.680843
9,7062560,99.668986
10,6131584,99.646157
11,5801909,99.618742
12,5242141,99.603104
13,4905550,99.58851
14,4526699,99.565362
15,4269457,99.541342
16,3972717,99.522585
17,3791069,99.510756
18,3571793,99.4844
19,3420321,99.471974
20,3226878,99.440269
21,3125939,99.40346
22,2964656,99.374587
23,2863752,99.375592
24,2718024,99.324093
25,2573309,99.264719
26,2422685,99.196735
27,2299704,99.154389
28,2171356,99.040852
29,2047784,98.953774
30,1945691,98.898862
31,1830244,98.761706
32,1705835,98.63822
33,1606970,98.416259
34,1514555,98.306049
35,1399675,98.046028
36,1313983,97.83111
37,1235185,97.559786
38,1155183,97.392219
39,1080155,97.046992
40,1014591,96.759137
41,952106,96.426925
42,894233,95.91837
43,836823,95.291257
44,787975,94.619845
45,735858,93.868433
46,691658,93.017813
47,650598,92.097482
48,607310,91.093668
49,569634,90.105749
50,536363,88.980436
51,502285,87.828877
52,470484,86.477383
53,439695,85.215816
54,413185,83.826673
55,385231,82.362882
56,357357,80.654521
57,331034,78.704935
58,300300,76.273391
59,275263,74.286176
60,247287,71.037692
61,217643,67.505028
62,184232,62.857337
63,147647,57.707691